size	colour	x	y	clickSelects	tooltip	key	fill
2	#00C094	0.638631505856906	0.634941485550513	United Arab Emirates	United Arab Emirates population 382599	United Arab Emirates	#00C094
3.60996894379985	#A58AFF	0.194141550277893	0.788664046724711	Afghanistan	Afghanistan population 11966352	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.684210075275916	0.452450224721541	Albania	Albania population 2309029	Albania	#C49A00
2.80498447189992	#C49A00	0.725746987388167	0.272672992161886	Armenia	Armenia population 2705584	Armenia	#C49A00
3.13841995766062	#FB61D7	0.223221721139479	0.735794776038387	Angola	Angola population 6323057	Angola	#FB61D7
4.41495341569977	#53B400	0.678085453822632	0.301007447293571	Argentina	Argentina population 25215328	Argentina	#53B400
3.39427400463467	#C49A00	0.733536916064601	0.167151573050785	Austria	Austria population 7586115	Austria	#C49A00
3.8	#F8766D	0.747054711118792	0.223711922183381	Australia	Australia population 13380000	Australia	#F8766D
2	#53B400	0.720454639512862	0.236956380137655	Aruba	Aruba population 60239	Aruba	#53B400
3.13841995766062	#C49A00	0.644020382265914	0.410979872766355	Azerbaijan	Azerbaijan population 5496061	Azerbaijan	#C49A00
2.80498447189992	#C49A00	0.681158025456399	0.233482423952928	Bosnia and Herzegovina	Bosnia and Herzegovina population 3841440	Bosnia and Herzegovina	#C49A00
2	#53B400	0.711984070663751	0.240756019714701	Barbados	Barbados population 242971	Barbados	#53B400
6.1046315303569	#A58AFF	0.239188072660751	0.703443559068111	Bangladesh	Bangladesh population 69751017	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.743759819830633	0.16498035043533	Belgium	Belgium population 9741720	Belgium	#C49A00
3.13841995766062	#FB61D7	0.290311332263639	0.686073778144473	Burkina Faso	Burkina Faso population 5930487	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.739191815991685	0.186692576589878	Bulgaria	Bulgaria population 8620967	Bulgaria	#C49A00
2	#00C094	0.658263281423657	0.593254011333782	Bahrain	Bahrain population 239860	Bahrain	#00C094
2.80498447189992	#FB61D7	0.316497547282165	0.693347373906247	Burundi	Burundi population 3582950	Burundi	#FB61D7
2.80498447189992	#FB61D7	0.279427170038394	0.698015502529474	Benin	Benin population 3110074	Benin	#FB61D7
2	#F8766D	0.69155764484515	0.570673296133053	Brunei Darussalam	Brunei Darussalam population 148058	Brunei Darussalam	#F8766D
3.13841995766062	#53B400	0.360540020901088	0.649705799335606	Bolivia	Bolivia population 4540197	Bolivia	#53B400
6.96225755075248	#53B400	0.557865245634906	0.461243676314132	Brazil	Brazil population 103228641	Brazil	#53B400
2	#53B400	0.664408424691194	0.323588162494301	Bahamas, The	Bahamas, The population 181489	Bahamas, The	#53B400
2	#A58AFF	0.283803636944328	0.679017304644245	Bhutan	Bhutan population 324583	Bhutan	#A58AFF
2	#FB61D7	0.503972301175258	0.663927307466834	Botswana	Botswana population 765685	Botswana	#FB61D7
3.39427400463467	#C49A00	0.732004620600489	0.197548689667152	Belarus	Belarus population 9257272	Belarus	#C49A00
2	#53B400	0.677963463037914	0.63559285233515	Belize	Belize population 129294	Belize	#53B400
4.27683991532123	#00B6EB	0.76755752369044	0.158466682588966	Canada	Canada population 22369407.5086437	Canada	#00B6EB
4.27683991532123	#FB61D7	0.324909590957298	0.637329830427514	Congo, Dem. Rep.	Congo, Dem. Rep. population 21691346	Congo, Dem. Rep.	#FB61D7
2.80498447189992	#FB61D7	0.317799162352747	0.599441995787828	Central African Republic	Central African Republic population 1937323	Central African Republic	#FB61D7
2.80498447189992	#FB61D7	0.475349310731165	0.638524002866014	Congo, Rep.	Congo, Rep. population 1462767	Congo, Rep.	#FB61D7
3.13841995766062	#C49A00	0.779684395778694	0.151193086827192	Switzerland	Switzerland population 6307347	Switzerland	#C49A00
3.13841995766062	#FB61D7	0.349779749628546	0.815261523764031	Cote d'Ivoire	Cote d'Ivoire population 6021405	Cote d'Ivoire	#FB61D7
3.60996894379985	#53B400	0.625557970077902	0.333684347656165	Chile	Chile population 10100403	Chile	#53B400
3.39427400463467	#FB61D7	0.370409493421675	0.638849686258332	Cameroon	Cameroon population 7327874	Cameroon	#FB61D7
16.5788888465479	#F8766D	0.640305933886392	0.446587923659813	China	China population 881940000	China	#F8766D
4.41495341569977	#53B400	0.591689755924563	0.491315109538181	Colombia	Colombia population 22924755	Colombia	#53B400
2.80498447189992	#53B400	0.693568022574604	0.417710662874264	Costa Rica	Costa Rica population 1955790	Costa Rica	#53B400
3.39427400463467	#53B400	0.735301792090233	0.3223939900558	Cuba	Cuba population 9176167	Cuba	#53B400
2	#FB61D7	0.48532975306215	0.697472696875611	Cape Verde	Cape Verde population 301968	Cape Verde	#FB61D7
2	#C49A00	0.769036234417341	0.218175304513972	Cyprus	Cyprus population 635109	Cyprus	#C49A00
3.60996894379985	#C49A00	0.71863199838045	0.204062357513516	Czech Republic	Czech Republic population 9922266	Czech Republic	#C49A00
6.33497404836523	#C49A00	0.732953184459226	0.120470286818508	Germany	Germany population 78936666	Germany	#C49A00
2	#00C094	0.322121664487871	0.730149597238205	Djibouti	Djibouti population 190560	Djibouti	#00C094
3.13841995766062	#C49A00	0.775652239311869	0.16139783311983	Denmark	Denmark population 5021861	Denmark	#C49A00
3.13841995766062	#53B400	0.563583231139133	0.55905725514037	Dominican Republic	Dominican Republic population 4909454	Dominican Republic	#53B400
3.9718012070186	#00C094	0.4819919179775	0.754901535054389	Algeria	Algeria population 15935594	Algeria	#00C094
3.13841995766062	#53B400	0.548360225334081	0.599767679180146	Ecuador	Ecuador population 6557257	Ecuador	#53B400
2.80498447189992	#C49A00	0.718183938769291	0.184521353974423	Estonia	Estonia population 1405951	Estonia	#C49A00
5.01197609552267	#00C094	0.438111338671006	0.571216101786916	Egypt, Arab Rep.	Egypt, Arab Rep. population 38733784	Egypt, Arab Rep.	#00C094
2.80498447189992	#FB61D7	0.316284348434107	0.661104718066743	Eritrea	Eritrea population 1942922	Eritrea	#FB61D7
4.90241278938748	#C49A00	0.758957363384668	0.259754217599931	Spain	Spain population 34817071	Spain	#C49A00
4.78854800926934	#FB61D7	0.309515570033484	0.690850467898473	Ethiopia	Ethiopia population 31029594	Ethiopia	#FB61D7
3.13841995766062	#C49A00	0.737344852709049	0.116562086110689	Finland	Finland population 4666081	Finland	#C49A00
2	#F8766D	0.576605842416105	0.406854549796991	Fiji	Fiji population 554109	Fiji	#F8766D
2	#F8766D	0.608828511093353	0.696061402175565	Micronesia, Fed. Sts.	Micronesia, Fed. Sts. population 62289	Micronesia, Fed. Sts.	#F8766D
5.6	#C49A00	0.754989812629375	0.200805523590334	France	France population 53239101	France	#C49A00
2	#FB61D7	0.392360994066042	0.48729834769959	Gabon	Gabon population 623375	Gabon	#FB61D7
5.68890227574546	#C49A00	0.75449576895295	0.174316607681786	United Kingdom	United Kingdom population 56194527	United Kingdom	#C49A00
2	#53B400	0.631309398538688	0.443113967475085	Grenada	Grenada population 93629	Grenada	#53B400
3.13841995766062	#C49A00	0.688364602561054	0.231528323599019	Georgia	Georgia population 4242500	Georgia	#C49A00
3.39427400463467	#FB61D7	0.410978839995329	0.701055214191111	Ghana	Ghana population 9350286	Ghana	#FB61D7
2	#FB61D7	0.269615462624588	0.629187745619558	Gambia, The	Gambia, The population 489860	Gambia, The	#FB61D7
3.13841995766062	#FB61D7	0.177239556040192	0.698558308183338	Guinea	Guinea population 4311157	Guinea	#FB61D7
2	#FB61D7	0.260924474289073	0.569587684825325	Equatorial Guinea	Equatorial Guinea population 262376	Equatorial Guinea	#FB61D7
3.39427400463467	#C49A00	0.757098999094113	0.200805523590334	Greece	Greece population 8929086	Greece	#C49A00
3.13841995766062	#53B400	0.470468159208083	0.626690839611785	Guatemala	Guatemala population 5876798	Guatemala	#53B400
2	#F8766D	0.672361007747251	0.39057038018108	Guam	Guam population 89463	Guam	#F8766D
2	#FB61D7	0.218611913604834	0.711477082745294	Guinea-Bissau	Guinea-Bissau population 741030	Guinea-Bissau	#FB61D7
2	#53B400	0.52133451609923	0.47741928479927	Guyana	Guyana population 740041	Guyana	#53B400
3.13841995766062	#F8766D	0.751151473297149	0.29818485789348	Hong Kong SAR, China	Hong Kong SAR, China population 4241600	Hong Kong SAR, China	#F8766D
2.80498447189992	#53B400	0.473799533721579	0.715928089106976	Honduras	Honduras population 2928191	Honduras	#53B400
3.13841995766062	#C49A00	0.712620626939146	0.16736869531233	Croatia	Croatia population 4478000	Croatia	#C49A00
3.13841995766062	#53B400	0.377762003427675	0.562965455848188	Haiti	Haiti population 4964593	Haiti	#53B400
3.60996894379985	#C49A00	0.710769103253342	0.162809127819875	Hungary	Hungary population 10432055	Hungary	#C49A00
7.45967031971712	#F8766D	0.464439306221306	0.523340643116139	Indonesia	Indonesia population 123002081	Indonesia	#F8766D
2.80498447189992	#C49A00	0.738236411528198	0.359304774518531	Ireland	Ireland population 3085950	Ireland	#C49A00
2.80498447189992	#00C094	0.744664299792088	0.354745207026076	Israel	Israel population 3278000	Israel	#00C094
13.9669544997882	#A58AFF	0.425326248392316	0.521929348416093	India	India population 594192969	India	#A58AFF
3.60996894379985	#00C094	0.558109227204341	0.729823913845887	Iraq	Iraq population 10951169	Iraq	#00C094
4.78854800926934	#00C094	0.463160113132962	0.630707601450377	Iran, Islamic Rep.	Iran, Islamic Rep. population 31024743	Iran, Islamic Rep.	#00C094
2	#C49A00	0.787630898297195	0.273324358946523	Iceland	Iceland population 212317	Iceland	#C49A00
5.6	#C49A00	0.749851758394552	0.207210630305925	Italy	Italy population 54751406	Italy	#C49A00
2	#C49A00	0.750223051219066	0.15108452569642	Channel Islands	Channel Islands population 124728	Channel Islands	#C49A00
2.80498447189992	#53B400	0.70168668031266	0.485127125084135	Jamaica	Jamaica population 1956079.84	Jamaica	#53B400
2.80498447189992	#00C094	0.609401981791602	0.794634908917211	Jordan	Jordan population 1689934.4	Jordan	#00C094
7.09116882454314	#F8766D	0.776826543127371	0.18560696528215	Japan	Japan population 108079000	Japan	#F8766D
3.8	#FB61D7	0.468131332618592	0.817758429771804	Kenya	Kenya population 12529800	Kenya	#FB61D7
2.80498447189992	#C49A00	0.579079861134203	0.454295763944677	Kyrgyz Republic	Kyrgyz Republic population 3153800	Kyrgyz Republic	#C49A00
3.39427400463467	#F8766D	0.222976599469253	0.528877260785548	Cambodia	Cambodia population 7483408	Cambodia	#F8766D
2	#FB61D7	0.393137022671627	0.719184923030158	Comoros	Comoros population 247059	Comoros	#FB61D7
3.9718012070186	#F8766D	0.622858591436635	0.339329526456348	Korea, Dem. Rep.	Korea, Dem. Rep. population 15603005	Korea, Dem. Rep.	#F8766D
4.90241278938748	#F8766D	0.612785040874324	0.398386781596717	Korea, Rep.	Korea, Rep. population 33934872	Korea, Rep.	#F8766D
2.80498447189992	#00C094	0.68783445569289	0.692044640336974	Kuwait	Kuwait population 1700000	Kuwait	#00C094
3.8	#C49A00	0.608843712437243	0.320765573094209	Kazakhstan	Kazakhstan population 13751019	Kazakhstan	#C49A00
2.80498447189992	#F8766D	0.355451751067505	0.605304296849556	Lao PDR	Lao PDR population 2915019	Lao PDR	#F8766D
2.80498447189992	#00C094	0.648336803863482	0.467540221898951	Lebanon	Lebanon population 2480426	Lebanon	#00C094
2	#53B400	0.642506708448067	0.57056473500228	St. Lucia	St. Lucia population 107461	St. Lucia	#53B400
3.8	#A58AFF	0.632120010201623	0.384273834596261	Sri Lanka	Sri Lanka population 13091000	Sri Lanka	#A58AFF
2.80498447189992	#FB61D7	0.288763075388443	0.693130251644701	Liberia	Liberia population 1538882	Liberia	#FB61D7
2	#FB61D7	0.404553611966619	0.582289337125735	Lesotho	Lesotho population 1098033	Lesotho	#FB61D7
2.80498447189992	#C49A00	0.739036002216812	0.197548689667152	Lithuania	Lithuania population 3244438	Lithuania	#C49A00
2	#C49A00	0.722351767230333	0.118299064203053	Luxembourg	Luxembourg population 350450	Luxembourg	#C49A00
2.80498447189992	#C49A00	0.715371310116043	0.168237184358512	Latvia	Latvia population 2415819	Latvia	#C49A00
2.80498447189992	#00C094	0.459441104350271	0.774985344247346	Libya	Libya population 2338769	Libya	#00C094
3.9718012070186	#00C094	0.453604928397301	0.687702195106064	Morocco	Morocco population 16958091	Morocco	#00C094
2.80498447189992	#C49A00	0.640430964939887	0.227185878368109	Moldova	Moldova population 3175000	Moldova	#C49A00
2	#C49A00	0.73120008947511	0.21057602535988	Montenegro	Montenegro population 545254	Montenegro	#C49A00
3.39427400463467	#FB61D7	0.330077667846304	0.745782400069479	Madagascar	Madagascar population 7152391	Madagascar	#FB61D7
2.80498447189992	#C49A00	0.683874505609543	0.256063139153657	Macedonia, FYR	Macedonia, FYR population 1737547	Macedonia, FYR	#C49A00
3.13841995766062	#FB61D7	0.190001844303048	0.706374709598975	Mali	Mali population 5989840	Mali	#FB61D7
4.66983145535444	#F8766D	0.437192417432855	0.58087804242569	Myanmar	Myanmar population 29209751	Myanmar	#F8766D
2.80498447189992	#F8766D	0.513311626827681	0.758049807846798	Mongolia	Mongolia population 1397302	Mongolia	#F8766D
2	#F8766D	0.73092114481473	0.135994528519009	Macao SAR, China	Macao SAR, China population 252845	Macao SAR, China	#F8766D
2	#FB61D7	0.390888363876696	0.684879605705973	Mauritania	Mauritania population 1253831	Mauritania	#FB61D7
2	#00C094	0.73726466562003	0.132303450072736	Malta	Malta population 302200	Malta	#00C094
2	#FB61D7	0.620111708595711	0.327170679809801	Mauritius	Mauritius population 864819.2	Mauritius	#FB61D7
2	#A58AFF	0.349804831845965	0.72439585730725	Maldives	Maldives population 125780	Maldives	#A58AFF
3.13841995766062	#FB61D7	0.279416149064074	0.759352541416071	Malawi	Malawi population 4967159	Malawi	#FB61D7
5.77571185341255	#53B400	0.606538048602726	0.644169181666196	Mexico	Mexico population 58155590	Mexico	#53B400
3.60996894379985	#F8766D	0.641588167243513	0.437794472067221	Malaysia	Malaysia population 11741849	Malaysia	#F8766D
