colour	x	xend	y	yend	tooltip	PANEL
#00BFC4	0.949453415077153	0.951945230855669	0.5	0.5	( 0.99 ,  1 )	1
#F8766D	0.953748611174965	0.954545454545455	0.5	0.5	( 1 ,  1 )	1
#00BFC4	0.950843436236079	0.952542021870741	0.5	0.5	( 1 ,  1 )	2
#F8766D	0.953689266500397	0.954545454545454	0.5	0.5	( 1 ,  1 )	2
#00BFC4	0.904786480888687	0.934080688935919	0.5	0.5	( 0.94 ,  0.97 )	3
#F8766D	0.945392764968484	0.954545454545454	0.5	0.5	( 0.99 ,  1 )	3
#00BFC4	0.92579589426785	0.942242748399971	0.5	0.5	( 0.97 ,  0.98 )	4
#F8766D	0.948327279346939	0.954545454545454	0.5	0.5	( 0.99 ,  1 )	4
#00BFC4	0.874747082752155	0.944892239019052	0.5	0.5	( 0.91 ,  0.99 )	5
#F8766D	0.942409539069319	0.954545454545454	0.5	0.5	( 0.99 ,  1 )	5
#00BFC4	0.859964391075155	0.936647753147814	0.5	0.5	( 0.89 ,  0.98 )	6
#F8766D	0.923194128379433	0.954545454545455	0.5	0.5	( 0.96 ,  1 )	6
#00BFC4	0.948478700021351	0.952760543400353	0.5	0.5	( 0.99 ,  1 )	7
#F8766D	0.952534842177945	0.954545454545455	0.5	0.5	( 1 ,  1 )	7
#00BFC4	0.950562131088677	0.953345070381271	0.5	0.5	( 1 ,  1 )	8
#F8766D	0.95257272107971	0.954545454545455	0.5	0.5	( 1 ,  1 )	8
#00BFC4	0.928403601066148	0.946930444389311	0.5	0.5	( 0.97 ,  0.99 )	9
#F8766D	0.946156012515809	0.954545454545455	0.5	0.5	( 0.99 ,  1 )	9
#00BFC4	0.932861157388711	0.946924198918515	0.5	0.5	( 0.98 ,  0.99 )	10
#F8766D	0.94965348441256	0.954545454545455	0.5	0.5	( 0.99 ,  1 )	10
#00BFC4	0.912923339207472	0.949734345503862	0.5	0.5	( 0.95 ,  0.99 )	11
#F8766D	0.936668548138546	0.954545454545454	0.5	0.5	( 0.98 ,  1 )	11
#00BFC4	0.909737514597995	0.948125105623459	0.5	0.5	( 0.95 ,  0.99 )	12
#F8766D	0.929381904187324	0.954545454545455	0.5	0.5	( 0.97 ,  1 )	12
#00BFC4	0.949936776435819	0.954115590928192	0.5	0.5	( 0.99 ,  1 )	13
#F8766D	0.951537654576768	0.954545454545454	0.5	0.5	( 1 ,  1 )	13
#00BFC4	0.950742332470304	0.953941227054194	0.5	0.5	( 1 ,  1 )	14
#F8766D	0.952243924671196	0.954545454545454	0.5	0.5	( 1 ,  1 )	14
#00BFC4	0.93321201645853	0.951269713827976	0.5	0.5	( 0.98 ,  1 )	15
#F8766D	0.949267044042917	0.954545454545454	0.5	0.5	( 0.99 ,  1 )	15
#00BFC4	0.939005356845104	0.951514075006667	0.5	0.5	( 0.98 ,  1 )	16
#F8766D	0.950653091419905	0.954545454545454	0.5	0.5	( 1 ,  1 )	16
#00BFC4	0.87871554379489	0.941726203802194	0.5	0.5	( 0.92 ,  0.99 )	17
#F8766D	0.944499104361491	0.954545454545454	0.5	0.5	( 0.99 ,  1 )	17
#00BFC4	0.888738152522996	0.940399451069852	0.5	0.5	( 0.93 ,  0.98 )	18
#F8766D	0.946281699805649	0.954545454545454	0.5	0.5	( 0.99 ,  1 )	18
#00BFC4	0.953089762301513	0.954545454545454	0.5	0.5	( 1 ,  1 )	19
#F8766D	0.952720478607985	0.954545454545454	0.5	0.5	( 1 ,  1 )	19
#00BFC4	0.953090854902775	0.954545454545454	0.5	0.5	( 1 ,  1 )	20
#F8766D	0.953856294424646	0.954545454545454	0.5	0.5	( 1 ,  1 )	20
#00BFC4	0.947202389438544	0.954545454545454	0.5	0.5	( 0.99 ,  1 )	21
#F8766D	0.951230280871719	0.954545454545454	0.5	0.5	( 1 ,  1 )	21
#00BFC4	0.949272246367113	0.954537765655998	0.5	0.5	( 0.99 ,  1 )	22
#F8766D	0.95196146603527	0.954545454545454	0.5	0.5	( 1 ,  1 )	22
#00BFC4	0.913307858232053	0.954545454545454	0.5	0.5	( 0.95 ,  1 )	23
#F8766D	0.948244183583363	0.954545454545454	0.5	0.5	( 0.99 ,  1 )	23
#00BFC4	0.932404721026385	0.954545454545454	0.5	0.5	( 0.98 ,  1 )	24
#F8766D	0.943480694144073	0.954545454545454	0.5	0.5	( 0.99 ,  1 )	24
