date,time,EHSR 25cm T
5/27/13,10:00:00,7
5/27/13,11:00:00,6.9
5/27/13,12:00:00,7.1
5/27/13,13:00:00,7.4
5/27/13,14:00:00,7.9
5/27/13,15:00:00,8.5
5/27/13,16:00:00,9.1
5/27/13,17:00:00,9.5
5/27/13,18:00:00,10
5/27/13,19:00:00,10.4
5/27/13,20:00:00,10.4
5/27/13,21:00:00,10.2
5/27/13,22:00:00,9.8
5/27/13,23:00:00,9.4
5/28/13,0:00:00,9
5/28/13,1:00:00,8.6
5/28/13,2:00:00,8.2
5/28/13,3:00:00,7.9
5/28/13,4:00:00,7.5
5/28/13,5:00:00,7.1
5/28/13,6:00:00,6.8
5/28/13,7:00:00,6.5
5/28/13,8:00:00,6.3
5/28/13,9:00:00,6
5/28/13,10:00:00,5.8
5/28/13,11:00:00,5.9
5/28/13,12:00:00,6.2
5/28/13,13:00:00,6.5
5/28/13,14:00:00,6.4
5/28/13,15:00:00,6.6
5/28/13,16:00:00,6.8
5/28/13,17:00:00,6.9
5/28/13,18:00:00,7
5/28/13,19:00:00,7
5/28/13,20:00:00,7
5/28/13,21:00:00,7
5/28/13,22:00:00,7
5/28/13,23:00:00,6.9
5/29/13,0:00:00,6.8
5/29/13,1:00:00,6.6
5/29/13,2:00:00,6.5
5/29/13,3:00:00,6.3
5/29/13,4:00:00,6.2
5/29/13,5:00:00,6.1
5/29/13,6:00:00,5.9
5/29/13,7:00:00,5.8
5/29/13,8:00:00,5.6
5/29/13,9:00:00,5.5
5/29/13,10:00:00,5.4
5/29/13,11:00:00,5.4
5/29/13,12:00:00,5.5
5/29/13,13:00:00,5.7
5/29/13,14:00:00,6.2
5/29/13,15:00:00,6.7
5/29/13,16:00:00,7.3
5/29/13,17:00:00,7.9
5/29/13,18:00:00,8.4
5/29/13,19:00:00,8.8
5/29/13,20:00:00,9
5/29/13,21:00:00,9.2
5/29/13,22:00:00,9.1
5/29/13,23:00:00,9
5/30/13,0:00:00,8.8
5/30/13,1:00:00,8.6
5/30/13,2:00:00,8.4
5/30/13,3:00:00,8.2
5/30/13,4:00:00,8
5/30/13,5:00:00,7.8
5/30/13,6:00:00,7.6
5/30/13,7:00:00,7.4
5/30/13,8:00:00,7.2
5/30/13,9:00:00,7.1
5/30/13,10:00:00,7
5/30/13,11:00:00,6.8
5/30/13,12:00:00,6.7
5/30/13,13:00:00,6.6
5/30/13,14:00:00,6.5
5/30/13,15:00:00,6.4
5/30/13,16:00:00,6.4
5/30/13,17:00:00,6.5
5/30/13,18:00:00,6.7
5/30/13,19:00:00,6.9
5/30/13,20:00:00,7
5/30/13,21:00:00,7
5/30/13,22:00:00,6.9
5/30/13,23:00:00,6.9
5/31/13,0:00:00,6.7
5/31/13,1:00:00,6.6
5/31/13,2:00:00,6.5
5/31/13,3:00:00,6.4
5/31/13,4:00:00,6.3
5/31/13,5:00:00,6.2
5/31/13,6:00:00,6.1
5/31/13,7:00:00,6
5/31/13,8:00:00,5.9
5/31/13,9:00:00,5.7
5/31/13,10:00:00,5.6
5/31/13,11:00:00,5.5
5/31/13,12:00:00,5.5
5/31/13,13:00:00,5.6
5/31/13,14:00:00,5.8
5/31/13,15:00:00,6.1
5/31/13,16:00:00,6.4
5/31/13,17:00:00,6.7
5/31/13,18:00:00,6.8
5/31/13,19:00:00,6.9
5/31/13,20:00:00,7
5/31/13,21:00:00,6.9
5/31/13,22:00:00,6.9
5/31/13,23:00:00,6.7
6/1/13,0:00:00,6.6
6/1/13,1:00:00,6.4
6/1/13,2:00:00,6.2
6/1/13,3:00:00,6
6/1/13,4:00:00,5.8
6/1/13,5:00:00,5.6
6/1/13,6:00:00,5.5
6/1/13,7:00:00,5.3
6/1/13,8:00:00,5.2
6/1/13,9:00:00,5.1
6/1/13,10:00:00,5
6/1/13,11:00:00,5
6/1/13,12:00:00,5
6/1/13,13:00:00,5.2
6/1/13,14:00:00,5.6
6/1/13,15:00:00,6.2
6/1/13,16:00:00,6.8
6/1/13,17:00:00,7.5
6/1/13,18:00:00,8.1
6/1/13,19:00:00,8.5
6/1/13,20:00:00,8.8
6/1/13,21:00:00,9
6/1/13,22:00:00,9
6/1/13,23:00:00,9
6/2/13,0:00:00,8.8
6/2/13,1:00:00,8.6
6/2/13,2:00:00,8.4
6/2/13,3:00:00,8.2
6/2/13,4:00:00,8
6/2/13,5:00:00,7.8
6/2/13,6:00:00,7.5
6/2/13,7:00:00,7.3
6/2/13,8:00:00,7.2
6/2/13,9:00:00,7
6/2/13,10:00:00,6.9
6/2/13,11:00:00,6.8
6/2/13,12:00:00,7
6/2/13,13:00:00,7.4
6/2/13,14:00:00,7.9
6/2/13,15:00:00,8.5
6/2/13,16:00:00,9.2
6/2/13,17:00:00,9.8
6/2/13,18:00:00,10.3
6/2/13,19:00:00,10.7
6/2/13,20:00:00,10.9
6/2/13,21:00:00,10.9
6/2/13,22:00:00,10.9
6/2/13,23:00:00,10.8
6/3/13,0:00:00,10.6
6/3/13,1:00:00,10.4
6/3/13,2:00:00,10.2
6/3/13,3:00:00,9.9
6/3/13,4:00:00,9.7
6/3/13,5:00:00,9.5
6/3/13,6:00:00,9.3
6/3/13,7:00:00,9.1
6/3/13,8:00:00,8.9
6/3/13,9:00:00,8.7
6/3/13,10:00:00,8.6
6/3/13,11:00:00,8.5
6/3/13,12:00:00,8.6
6/3/13,13:00:00,8.7
6/3/13,14:00:00,8.8
6/3/13,15:00:00,9
6/3/13,16:00:00,9.3
6/3/13,17:00:00,9.6
6/3/13,18:00:00,9.9
6/3/13,19:00:00,10.2
6/3/13,20:00:00,10.3
6/3/13,21:00:00,10.2
6/3/13,22:00:00,10.1
6/3/13,23:00:00,9.9
6/4/13,0:00:00,9.6
6/4/13,1:00:00,9.4
6/4/13,2:00:00,9.2
6/4/13,3:00:00,9
6/4/13,4:00:00,8.7
6/4/13,5:00:00,8.5
6/4/13,6:00:00,8.3
6/4/13,7:00:00,8
6/4/13,8:00:00,7.8
6/4/13,9:00:00,7.6
6/4/13,10:00:00,7.4
6/4/13,11:00:00,7.3
6/4/13,12:00:00,7.3
6/4/13,13:00:00,7.4
6/4/13,14:00:00,7.8
6/4/13,15:00:00,8.3
6/4/13,16:00:00,8.9
6/4/13,17:00:00,9.4
6/4/13,18:00:00,10
6/4/13,19:00:00,10.4
6/4/13,20:00:00,10.7
6/4/13,21:00:00,10.8
6/4/13,22:00:00,10.8
6/4/13,23:00:00,10.6
6/5/13,0:00:00,10.4
6/5/13,1:00:00,10.1
6/5/13,2:00:00,9.8
6/5/13,3:00:00,9.5
6/5/13,4:00:00,9.2
6/5/13,5:00:00,9
6/5/13,6:00:00,8.7
6/5/13,7:00:00,8.5
6/5/13,8:00:00,8.3
6/5/13,9:00:00,8.1
6/5/13,10:00:00,7.9
6/5/13,11:00:00,7.8
6/5/13,12:00:00,8
6/5/13,13:00:00,8.3
6/5/13,14:00:00,8.7
6/5/13,15:00:00,9.3
6/5/13,16:00:00,9.9
6/5/13,17:00:00,10.6
6/5/13,18:00:00,11.1
6/5/13,19:00:00,11.5
6/5/13,20:00:00,11.7
6/5/13,21:00:00,11.9
6/5/13,22:00:00,11.8
6/5/13,23:00:00,11.7
6/6/13,0:00:00,11.5
6/6/13,1:00:00,11.3
6/6/13,2:00:00,11.1
6/6/13,3:00:00,10.9
6/6/13,4:00:00,10.6
6/6/13,5:00:00,10.4
6/6/13,6:00:00,10.1
6/6/13,7:00:00,9.9
6/6/13,8:00:00,9.7
6/6/13,9:00:00,9.5
6/6/13,10:00:00,9.3
6/6/13,11:00:00,9.2
6/6/13,12:00:00,9.4
6/6/13,13:00:00,9.7
6/6/13,14:00:00,10.2
6/6/13,15:00:00,10.9
6/6/13,16:00:00,11.7
6/6/13,17:00:00,12.4
6/6/13,18:00:00,13
6/6/13,19:00:00,13.5
6/6/13,20:00:00,13.9
6/6/13,21:00:00,14
6/6/13,22:00:00,14
