logSellingPr LivingArea OtherArea Age Bedrooms Bathrooms HalfBaths Latitude Longitude
10.87616 1606 794 11 4 2 0 30.38562 -91.0184
10.54534 979 452 2 2 1 1 30.48571 -91.077
10.59663 1144 584 0 3 2 0 30.51082 -91.1082
11.22524 2154 786 13 4 2 0 30.44838 -91.0242
12.01309 2992 1522 3 5 3 1 30.44918 -91.0023
10.96474 1174 410 0 3 2 0 30.37658 -91.1054
11.23915 1600 550 7 3 2 0 30.43808 -91.0109
10.71219 1020 529 13 3 1 1 30.45443 -91.015
11.06664 1864 1114 19 3 2 0 30.54191 -91.1094
11.13459 1526 706 10 3 2 0 30.43279 -91.0253
11.99412 2408 613 0 4 2 1 30.39537 -90.9833
11.16935 1545 599 6 3 2 0 30.44515 -91.0262
11.37939 2205 635 12 4 2 0 30.39894 -91.1589
11.63691 2583 634 12 3 2 1 30.40198 -91.1624
11.08214 1705 572 15 3 2 0 30.48246 -91.0665
11.47730 2998 754 23 6 3 1 30.45014 -91.0529
11.19134 1900 850 10 3 2 0 30.55687 -91.069
11.38509 2200 768 14 4 2 0 30.40684 -91.0484
10.86857 1789 596 20 3 2 0 30.53231 -91.0708
11.05089 1787 275 42 3 2 0 30.41498 -91.146
11.23849 2121 256 17 3 2 0 30.4506 -91.0183
11.06664 1535 478 14 3 2 0 30.55863 -91.037
10.66896 1010 386 14 3 1 1 30.44857 -91.0149
10.63104 1546 791 14 3 2 0 30.49693 -91.0392
11.01673 1413 660 10 3 2 0 30.48507 -91.0488
11.24740 2014 695 25 3 2 0 30.43714 -91.0754
10.98529 1358 567 5 3 2 0 30.45157 -91.0123
11.8706 3418 1016 10 4 2 1 30.45384 -91.0068
11.19958 1836 556 13 4 2 0 30.40917 -91.04
10.23996 1200 1042 20 2 1 0 30.49275 -91.1529
12.25486 3052 1161 5 4 2 1 30.39071 -91.144
11.48247 1963 819 8 3 2 0 30.39265 -91.1298
10.91509 1709 570 20 3 2 0 30.44086 -91.0722
11.65269 2477 994 11 3 2 0 30.44917 -90.9992
11.69441 2642 1008 11 4 2 1 30.42183 -91.0282
11.14908 2147 512 24 3 2 0 30.48074 -91.0811
10.81978 1500 410 24 3 2 0 30.49396 -91.1424
11.32660 1700 832 50 3 1 0 30.44154 -91.1236
11.17745 1885 920 12 3 2 0 30.48331 -91.0605
11.28114 1918 559 15 4 2 0 30.44605 -91.036
11.19134 2066 521 18 4 2 0 30.45784 -91.0366
11.25803 2064 750 5 3 2 1 30.45126 -91.0133
11.28978 1762 865 16 3 2 0 30.40349 -91.0666
10.79549 1328 646 15 3 2 0 30.3823 -91.0032
10.81978 1376 655 17 3 2 0 30.46715 -91.0508
11.72723 2830 934 11 3 2 1 30.38311 -91.1283
11.12726 1485 694 0 3 2 0 30.43584 -91.0409
11.31322 1593 698 4 3 2 0 30.38495 -91.0743
11.23849 1624 700 8 3 2 0 30.43826 -91.0109
11.14331 1533 512 10 3 2 0 30.42874 -91.0164
10.86188 1561 137 24 3 2 0 30.45161 -91.0877
11.23717 1403 576 0 3 2 0 30.44131 -91.0307
11.58058 2651 1010 10 4 2 1 30.41932 -91.0243
10.99373 1525 528 15 3 2 0 30.47976 -91.0797
11.20504 1932 552 12 3 2 0 30.43472 -91.0212
11.09589 1586 633 11 3 2 0 30.38384 -91.0183
11.03328 1675 594 10 3 2 0 30.49422 -91.0501
10.50507 1106 294 26 3 1 0 30.58031 -91.1642
10.54534 1158 210 7 3 2 0 30.58267 -91.1587
11.76368 2850 1182 11 4 2 1 30.44906 -91.0414
10.59663 1123 337 15 3 2 0 30.57017 -91.1498
10.93314 1612 638 8 3 2 0 30.47014 -91.0283
11.38509 2144 742 11 4 2 1 30.45643 -91.0135
10.77896 1034 664 22 3 1 1 30.4014 -91.0695
10.77664 1317 600 13 3 2 0 30.49614 -91.0395
11.27720 1800 608 22 3 2 0 30.45008 -91.0517
10.63345 2111 199 25 3 2 0 30.45813 -91.1883
12.07254 2698 760 10 4 2 1 30.43287 -91.1479
11.39392 1750 604 9 2 2 0 30.43795 -91.0629
10.66663 2100 300 30 4 2 0 30.60024 -91.1527
