colour	x	y	clickSelects	fill
#F8766D	0.178364839404821	0.388155185448175	Female.No	#F8766D
#7CAE00	0.671418762427162	0.393556325188415	Male.No	#7CAE00
#7CAE00	0.824480915442109	0.27422901310704	Male.No	#7CAE00
#7CAE00	0.73279273416847	0.227674231610515	Male.No	#7CAE00
#F8766D	0.138474564237351	0.337930014441636	Female.No	#F8766D
#7CAE00	0.731359268199991	0.148081732490523	Male.No	#7CAE00
#7CAE00	0.840338622558523	0.277587763711133	Male.No	#7CAE00
#7CAE00	0.844468910162422	0.326472743499008	Male.No	#7CAE00
#7CAE00	0.759571731429208	0.358722801828249	Male.No	#7CAE00
#7CAE00	0.626268489878963	0.312635166570544	Male.No	#7CAE00
#7CAE00	0.880055234259502	0.298320751975883	Male.No	#7CAE00
#F8766D	0.154071820815178	0.271937728859484	Female.No	#F8766D
#7CAE00	0.725602714683522	0.203988318924199	Male.No	#7CAE00
#7CAE00	0.837900821204212	0.117049509405412	Male.No	#7CAE00
#F8766D	0.146937876601111	0.195659507404674	Female.No	#F8766D
#7CAE00	0.870598259635947	0.450159615413709	Male.No	#7CAE00
#F8766D	0.313945438797501	0.251879360780797	Female.No	#F8766D
#7CAE00	0.577758852477101	0.153380613689395	Male.No	#7CAE00
#F8766D	0.177877861498432	0.206808032467961	Female.No	#F8766D
#7CAE00	0.66241943328218	0.267916145988486	Male.No	#7CAE00
#7CAE00	0.878011934713206	0.120182180438529	Male.No	#7CAE00
#F8766D	0.35553040787239	0.407347062094645	Female.No	#F8766D
#F8766D	0.434055275114423	0.44449416522614	Female.No	#F8766D
#7CAE00	0.787417364052751	0.175753482871435	Male.No	#7CAE00
#7CAE00	0.66921776981855	0.355290105651048	Male.No	#7CAE00
#7CAE00	0.804676913317631	0.390042244880037	Male.No	#7CAE00
#7CAE00	0.699007550169798	0.377522185190835	Male.No	#7CAE00
#7CAE00	0.854152262549509	0.318845808506012	Male.No	#7CAE00
#7CAE00	0.553073702718724	0.38488158270378	Male.No	#7CAE00
#F8766D	0.307627179659903	0.207135631194846	Female.No	#F8766D
#7CAE00	0.599095044064928	0.454183489592238	Male.No	#7CAE00
#7CAE00	0.756436747244813	0.367674882947044	Male.No	#7CAE00
#F8766D	0.106634002602236	0.0937661415981975	Female.No	#F8766D
#F8766D	0.373207104900344	0.182635427621955	Female.No	#F8766D
#7CAE00	0.656883307817307	0.439880706369877	Male.No	#7CAE00
#7CAE00	0.875448065894571	0.189825750040737	Male.No	#7CAE00
#7CAE00	0.602003161626106	0.128832852721892	Male.No	#7CAE00
#F8766D	0.248686726120385	0.385260542939332	Female.No	#F8766D
#7CAE00	0.689282420260662	0.229960305362263	Male.No	#7CAE00
#7CAE00	0.811121108349074	0.37856580757282	Male.No	#7CAE00
#7CAE00	0.549335742792623	0.398992147804661	Male.No	#7CAE00
#7CAE00	0.834840943444182	0.407770712351934	Male.No	#7CAE00
#7CAE00	0.573045773346993	0.214882626536895	Male.No	#7CAE00
#7CAE00	0.588443050499667	0.248628147200427	Male.No	#7CAE00
