colour	y	x	clickSelects	PANEL	fill
#F8766D	0.254415584415584	0.628181818181818	409	1	#F8766D
#F8766D	0.451818181818182	0.710606060606061	410	1	#F8766D
#F8766D	0.443896103896104	0.225	411	1	#F8766D
#F8766D	0.314675324675325	0.362575757575758	412	1	#F8766D
#F8766D	0.548961038961039	0.488939393939394	413	2	#F8766D
#F8766D	0.373116883116883	0.552121212121212	414	2	#F8766D
#F8766D	0.358311688311688	0.55469696969697	415	2	#F8766D
#F8766D	0.566363636363636	0.408636363636364	416	2	#F8766D
#F8766D	0.333636363636364	0.671060606060606	417	2	#F8766D
#F8766D	0.276493506493507	0.517575757575758	422	2	#F8766D
#F8766D	0.312077922077922	0.587575757575758	423	2	#F8766D
#F8766D	0.246753246753247	0.685606060606061	424	2	#F8766D
#00BFC4	0.208831168831169	0.258787878787879	425	2	#00BFC4
#F8766D	0.260519480519481	0.660454545454546	426	2	#F8766D
