alpha	x	y	clickSelects	PANEL	group	ymin	ymax	xmin	xmax
0.55	0.0476087893149571	0.954545454545454	2011_03_31	1	1	0.0454545454545455	0.954545454545454	0.0454545454545486	0.0497630331753655
0.55	0.0571832064723125	0.954545454545454	2011_04_02	1	2	0.0454545454545455	0.954545454545454	0.055028962611904	0.0593374503327209
0.55	0.0667576236296679	0.954545454545454	2011_04_04	1	4	0.0454545454545455	0.954545454545454	0.0646033797692594	0.0689118674900763
0.55	0.0715448322083456	0.954545454545454	2011_04_05	1	5	0.0454545454545455	0.954545454545454	0.0693905883479371	0.073699076068754
0.55	0.081119249365701	0.954545454545454	2011_04_07	1	6	0.0454545454545455	0.954545454545454	0.0789650055052925	0.0832734932261094
0.55	0.109842500837767	0.954545454545454	2011_04_13	1	8	0.0454545454545455	0.954545454545454	0.107688256977359	0.111996744698176
0.55	0.114629709416445	0.954545454545454	2011_04_14	1	9	0.0454545454545455	0.954545454545454	0.112475465556036	0.116783953276853
0.55	0.1242041265738	0.954545454545454	2011_04_16	1	10	0.0454545454545455	0.954545454545454	0.122049882713392	0.126358370434209
0.55	0.128991335152478	0.954545454545454	2011_04_17	1	11	0.0454545454545455	0.954545454545454	0.12683709129207	0.131145579012886
0.55	0.138565752309833	0.954545454545454	2011_04_19	1	12	0.0454545454545455	0.954545454545454	0.136411508449425	0.140719996170242
0.55	0.162501795203222	0.954545454545454	2011_04_24	1	13	0.0454545454545455	0.954545454545454	0.160347551342814	0.16465603906363
0.55	0.176863420939255	0.954545454545454	2011_04_27	1	14	0.0454545454545455	0.954545454545454	0.174709177078847	0.179017664799663
0.55	0.191225046675288	0.954545454545454	2011_04_30	1	15	0.0454545454545455	0.954545454545454	0.18907080281488	0.193379290535697
0.55	0.196012255253966	0.954545454545454	2011_05_01	1	16	0.0454545454545455	0.954545454545454	0.193858011393557	0.198166499114374
0.55	0.200799463832644	0.954545454545454	2011_05_02	1	17	0.0454545454545455	0.954545454545454	0.198645219972235	0.202953707693052
0.55	0.219948298147354	0.954545454545454	2011_05_06	1	18	0.0454545454545455	0.954545454545454	0.217794054286946	0.222102542007763
0.55	0.239097132462065	0.954545454545454	2011_05_10	1	19	0.0454545454545455	0.954545454545454	0.236942888601657	0.241251376322474
0.55	0.243884341040743	0.954545454545454	2011_05_11	1	20	0.0454545454545455	0.954545454545454	0.241730097180334	0.246038584901151
0.55	0.263033175355454	0.954545454545454	2011_05_15	1	21	0.0454545454545455	0.954545454545454	0.260878931495045	0.265187419215862
