"des","pitcher_name","pitch_type","start_speed","end_speed"
"Called Strike","Mariano Rivera","FC","91.3","85.7"
"In play, out(s)","Mariano Rivera","FF","91.5","84.4"
"Called Strike","Mariano Rivera","FC","91.8","84.8"
"Called Strike","Mariano Rivera","FC","91.8","84.8"
"Foul","Mariano Rivera","FC","92.0","84.9"
"Foul","Mariano Rivera","FC","92.0","84.9"
"Ball","Mariano Rivera","FC","89.5","83.4"
"Ball","Mariano Rivera","FC","89.5","83.4"
"Foul","Mariano Rivera","FC","91.0","83.6"
"Foul","Mariano Rivera","FC","91.0","83.6"
"Ball","Mariano Rivera","FC","90.5","84.1"
"Ball","Mariano Rivera","FC","90.5","84.1"
"In play, out(s)","Mariano Rivera","FC","90.8","84.5"
"In play, out(s)","Mariano Rivera","FC","90.8","84.5"
"Ball","Mariano Rivera","FC","90.5","84.0"
"Swinging Strike","Mariano Rivera","FC","90.6","83.8"
"Foul","Mariano Rivera","FC","90.4","83.1"
"Foul","Mariano Rivera","FC","91.5","85.0"
"Ball","Mariano Rivera","FC","90.6","84.5"
"Foul","Mariano Rivera","FC","91.6","84.0"
"Ball","Mariano Rivera","FC","91.0","85.0"
"Called Strike","Mariano Rivera","FC","90.3","83.7"
"In play, out(s)","Mariano Rivera","FC","89.8","83.7"
"Called Strike","Mariano Rivera","FF","90.3","84.1"
"Foul","Mariano Rivera","FC","89.4","84.2"
"Foul","Mariano Rivera","FC","90.8","85.7"
"Ball","Mariano Rivera","FC","90.7","83.7"
"Foul","Mariano Rivera","FC","90.3","83.6"
"In play, no out","Mariano Rivera","FC","90.9","84.7"
"Foul","Mariano Rivera","FF","91.0","84.2"
"Foul","Mariano Rivera","FF","91.9","85.8"
"Foul","Mariano Rivera","FC","91.6","85.3"
"Foul","Mariano Rivera","FC","91.2","84.8"
"Foul","Mariano Rivera","FF","91.5","84.5"
"In play, no out","Mariano Rivera","FC","89.9","84.0"
"Foul","Mariano Rivera","FC","91.3","85.4"
"Ball","Mariano Rivera","FF","91.3","84.9"
"Swinging Strike","Mariano Rivera","FF","91.1","85.3"
"Foul","Mariano Rivera","FF","92.1","85.8"
"Ball","Mariano Rivera","FC","92.5","86.5"
"Ball","Mariano Rivera","FC","91.9","85.6"
"Foul","Mariano Rivera","FC","92.4","85.0"
"Foul","Mariano Rivera","FC","91.4","85.8"
"Foul","Mariano Rivera","FC","93.2","86.3"
"Ball","Mariano Rivera","FC","90.0","83.8"
"Swinging Strike","Mariano Rivera","FC","89.9","82.6"
"Ball","Mariano Rivera","FC","88.6","82.8"
"Swinging Strike","Mariano Rivera","FC","89.3","82.9"
"Ball","Mariano Rivera","FC","90.7","84.0"
"Foul","Mariano Rivera","FC","90.6","84.5"
"Foul","Mariano Rivera","FC","89.9","83.5"
